127.0.0.1 - - [09/Jul/2019:02:05:41 +0900] "GET / HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:43 +0900] "GET / HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:43 +0900] "GET /resources/logres.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:43 +0900] "GET /resources/logres.js HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:53 +0900] "GET / HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:53 +0900] "GET /resources/logres.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:53 +0900] "GET /resources/logres.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:05:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:06:04 +0900] "POST /loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:06:04 +0900] "GET /main HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:06:04 +0900] "GET /resources/group.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:06:04 +0900] "GET /resources/sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2019:02:06:08 +0900] "GET /useradd HTTP/1.1" 200 2399
